platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes
Netflix,Chhota Bheem & Krishna in Mayanagari,MOVIE,2011,66,animation,8.7,13
Netflix,Chhota Bheem In Dholakpur to Kathmandu,MOVIE,2012,70,animation,7.9,50
Netflix,An Elf's Story,MOVIE,2011,24,scifi,5.1,510
Netflix,Bbuddah Hoga Terra Baap,MOVIE,2011,117,thriller,5.6,2908
Netflix,Luv Shuv Tey Chicken Khurana,MOVIE,2012,140,comedy,6.6,3925
Netflix,Bwakaw,MOVIE,2012,104,drama,7.1,301
Netflix,Blood Money,MOVIE,2012,110,thriller,5.0,1480
Netflix,Shaitan,MOVIE,2011,121,drama,7.2,8475
Netflix,Department,MOVIE,2012,141,action,3.2,1058
Netflix,Asmaa,MOVIE,2011,96,drama,8.1,4483
Netflix,Thaandavam,MOVIE,2012,167,action,6.1,2034
Netflix,Chota Bheem Aur Ganesh in the Amazing Odyssey,MOVIE,2012,65,animation,7.8,13
Netflix,Question Mark,MOVIE,2011,102,drama,7.0,259
Netflix,Husbands in Goa,MOVIE,2012,150,comedy,3.8,286
Netflix,Chhota Bheem and the Broken Amulet,MOVIE,2012,63,animation,7.7,17
Netflix,Blitz Patrollie,MOVIE,2012,101,crime,5.4,145
Netflix,Moshe Kasher: Live in Oakland,MOVIE,2012,60,comedy,6.7,332
Netflix,The Mistress,MOVIE,2012,125,romance,6.3,361
Netflix,The Rise of Kirmada,MOVIE,2012,68,animation,8.2,67
Netflix,Vettai,MOVIE,2012,150,action,6.0,2450
Netflix,Muran,MOVIE,2011,134,drama,6.3,294
Netflix,A World Not Ours,MOVIE,2012,93,documentation,7.8,388
Netflix,Tom Papa: Live in New York City,MOVIE,2011,57,comedy,7.2,501
Netflix,Zokkomon,MOVIE,2011,109,fantasy,4.0,411
Netflix,My Friend Pinto,MOVIE,2011,115,comedy,5.3,392
Netflix,Here Comes the Rain,MOVIE,2011,100,drama,6.3,63
Netflix,One More Try,MOVIE,2012,100,drama,6.0,203
Netflix,Chhota Bheem Master of Shaolin,MOVIE,2011,75,animation,6.1,128
Netflix,No Other Woman,MOVIE,2011,104,romance,5.9,311
Netflix,Sisterakas,MOVIE,2012,110,comedy,5.0,285
Netflix,Phone Swap,MOVIE,2012,111,comedy,6.2,174
Netflix,"Darling, Something's Wrong with Your Head",MOVIE,2011,78,drama,6.7,133
Netflix,Paddington,MOVIE,2014,95,comedy,7.2,113735
Netflix,It Follows,MOVIE,2014,101,horror,6.8,236513
Netflix,The Imitation Game,MOVIE,2014,113,thriller,8.0,756254
Netflix,Rush,MOVIE,2013,123,drama,8.1,471586
Netflix,Nightcrawler,MOVIE,2014,118,thriller,7.8,531779
Netflix,St. Vincent,MOVIE,2014,102,comedy,7.2,102820
Netflix,The Conjuring,MOVIE,2013,112,horror,7.5,496484
Netflix,How to Train Your Dragon 2,MOVIE,2014,102,action,7.8,330975
Netflix,Oldboy,MOVIE,2013,104,action,5.7,75728
Netflix,Big Eyes,MOVIE,2014,106,drama,7.2,51
Netflix,Begin Again,MOVIE,2013,104,drama,7.4,155249
Netflix,42,MOVIE,2013,128,drama,7.5,94520
Netflix,Olympus Has Fallen,MOVIE,2013,120,action,6.5,274270
Netflix,Dark Skies,MOVIE,2013,97,scifi,6.3,75663
Netflix,Blue Jasmine,MOVIE,2013,99,drama,7.3,201749
Netflix,Insidious: Chapter 2,MOVIE,2013,106,horror,6.5,169039
Netflix,Creep,MOVIE,2014,82,horror,6.3,53408
Netflix,Barefoot,MOVIE,2014,90,romance,6.6,24167
Netflix,The Giver,MOVIE,2014,97,drama,6.4,118877
Netflix,Mandela: Long Walk to Freedom,MOVIE,2013,141,drama,7.1,27866
