platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes,,
Netflix,Bodyguard,MOVIE,2011,134,drama,"4,60",25.778,,
Netflix,Material,MOVIE,2012,94,comedy,"7,10",967,,
Netflix,Kyaa Super Kool Hain Hum,MOVIE,2012,137,drama,"5,00",3.926,,
Netflix,Jeff Dunham: Controlled Chaos,MOVIE,2011,90,comedy,"7,40",2.296,,
Netflix,Players,MOVIE,2012,165,thriller,"4,20",4.534,,
Netflix,Aiyyaa,MOVIE,2012,146,romance,"4,30",1.889,,
Netflix,Tere Naal Love Ho Gaya,MOVIE,2012,126,drama,"5,80",4.381,,
Netflix,Ragini MMS,MOVIE,2011,93,drama,"5,10",2.654,,
Netflix,Grandmaster,MOVIE,2012,130,thriller,"6,90",2.211,,
Netflix,26 Years,MOVIE,2012,135,drama,"6,30",1.217,,
Netflix,Michael,MOVIE,2011,97,drama,"5,30",168,,
Netflix,"All's Well, Ends Well",MOVIE,2012,118,romance,"5,10",338,,
Netflix,Heroine,MOVIE,2012,140,drama,"5,00",4.353,,
Netflix,Lavell Crawford: Can a Brother Get Some Love?,MOVIE,2011,90,comedy,"6,90",234,,
Netflix,Jeff Dunham: Minding the Monsters,MOVIE,2012,80,comedy,"7,00",1.416,,
Netflix,Kalakalappu,MOVIE,2012,149,comedy,"6,90",1.398,,
Netflix,Chhota Bheem & Krishna in Mayanagari,MOVIE,2011,66,animation,"8,70",13,,
Netflix,Chhota Bheem In Dholakpur to Kathmandu,MOVIE,2012,70,animation,"7,90",50,,
Netflix,An Elf's Story,MOVIE,2011,24,scifi,"5,10",510,,
Netflix,Bbuddah Hoga Terra Baap,MOVIE,2011,117,thriller,"5,60",2.908,,
Netflix,Luv Shuv Tey Chicken Khurana,MOVIE,2012,140,comedy,"6,60",3.925,,
Netflix,Bwakaw,MOVIE,2012,104,drama,"7,10",301,,
Netflix,Blood Money,MOVIE,2012,110,thriller,"5,00",1.480,,
Netflix,Shaitan,MOVIE,2011,121,drama,"7,20",8.475,,
Netflix,Department,MOVIE,2012,141,action,"3,20",1.058,,
Netflix,Asmaa,MOVIE,2011,96,drama,"8,10",4.483,,
Netflix,Thaandavam,MOVIE,2012,167,action,"6,10",2.034,,
Netflix,Chota Bheem Aur Ganesh in the Amazing Odyssey,MOVIE,2012,65,animation,"7,80",13,,
Netflix,Question Mark,MOVIE,2011,102,drama,"7,00",259,,
Netflix,Husbands in Goa,MOVIE,2012,150,comedy,"3,80",286,,
Netflix,Chhota Bheem and the Broken Amulet,MOVIE,2012,63,animation,"7,70",17,,
Netflix,Blitz Patrollie,MOVIE,2012,101,crime,"5,40",145,,
Netflix,Moshe Kasher: Live in Oakland,MOVIE,2012,60,comedy,"6,70",332,,
Netflix,The Mistress,MOVIE,2012,125,romance,"6,30",361,,
Netflix,The Rise of Kirmada,MOVIE,2012,68,animation,"8,20",67,,
Netflix,Vettai,MOVIE,2012,150,action,"6,00",2.450,,
Netflix,Muran,MOVIE,2011,134,drama,"6,30",294,,
Netflix,A World Not Ours,MOVIE,2012,93,documentation,"7,80",388,,
Netflix,Tom Papa: Live in New York City,MOVIE,2011,57,comedy,"7,20",501,,
Netflix,Zokkomon,MOVIE,2011,109,fantasy,"4,00",411,,
Netflix,My Friend Pinto,MOVIE,2011,115,comedy,"5,30",392,,
Netflix,Here Comes the Rain,MOVIE,2011,100,drama,"6,30",63,,
Netflix,One More Try,MOVIE,2012,100,drama,"6,00",203,,
Netflix,Chhota Bheem Master of Shaolin,MOVIE,2011,75,animation,"6,10",128,,
Netflix,No Other Woman,MOVIE,2011,104,romance,"5,90",311,,
Netflix,Sisterakas,MOVIE,2012,110,comedy,"5,00",285,,
Netflix,Phone Swap,MOVIE,2012,111,comedy,"6,20",174,,
Netflix,"Darling, Something's Wrong with Your Head",MOVIE,2011,78,drama,"6,70",133,,
Netflix,Paddington,MOVIE,2014,95,comedy,"7,20",113.735,,
Netflix,It Follows,MOVIE,2014,101,horror,"6,80",236.513,,
Netflix,The Imitation Game,MOVIE,2014,113,thriller,"8,00",756.254,,
Netflix,Rush,MOVIE,2013,123,drama,"8,10",471.586,,
Netflix,Nightcrawler,MOVIE,2014,118,thriller,"7,80",531.779,,
Netflix,St. Vincent,MOVIE,2014,102,comedy,"7,20",102.820,,
Netflix,The Conjuring,MOVIE,2013,112,horror,"7,50",496.484,,
Netflix,How to Train Your Dragon 2,MOVIE,2014,102,action,"7,80",330.975,,
Netflix,Oldboy,MOVIE,2013,104,action,"5,70",75.728,,
